Location,Lat,Lon,Count
"(34.1649, -118.3943)",34.1649,-118.3943,15
"(34.2111, -118.4106)",34.2111,-118.4106,33
"(34.2012, -118.4182)",34.2012,-118.4182,52
"(34.194, -118.3648)",34.194,-118.3648,8
"(34.1504, -118.3998)",34.1504,-118.3998,4
"(34.1786, -118.3604)",34.1786,-118.3604,1
"(34.1649, -118.4115)",34.1649,-118.4115,1
"(34.1436, -118.3929)",34.1436,-118.3929,19
"(34.2012, -118.3703)",34.2012,-118.3703,74
"(34.2125, -118.4195)",34.2125,-118.4195,39
"(34.1976, -118.3998)",34.1976,-118.3998,2
"(34.1875, -118.3877)",34.1875,-118.3877,17
"(34.1886, -118.3823)",34.1886,-118.3823,2
"(34.145, -118.3725)",34.145,-118.3725,1
"(34.17, -118.379)",34.17,-118.379,7
"(34.2045, -118.392)",34.2045,-118.392,22
"(34.1867, -118.3703)",34.1867,-118.3703,123
"(34.2012, -118.391)",34.2012,-118.391,6
"(34.1486, -118.3965)",34.1486,-118.3965,18
"(34.1849, -118.3878)",34.1849,-118.3878,7
"(34.194, -118.3845)",34.194,-118.3845,3
"(34.1619, -118.3728)",34.1619,-118.3728,12
"(34.143, -118.3727)",34.143,-118.3727,37
"(34.1479, -118.3615)",34.1479,-118.3615,7
"(34.2012, -118.4052)",34.2012,-118.4052,165
"(34.1886, -118.403)",34.1886,-118.403,1
"(34.2012, -118.3633)",34.2012,-118.3633,1
"(34.1271, -118.3479)",34.1271,-118.3479,2
"(34.1631, -118.3615)",34.1631,-118.3615,10
"(34.194, -118.3998)",34.194,-118.3998,6
"(34.1976, -118.4116)",34.1976,-118.4116,3
"(34.194, -118.3932)",34.194,-118.3932,11
"(34.1985, -118.4138)",34.1985,-118.4138,12
"(34.1976, -118.3965)",34.1976,-118.3965,22
"(34.1849, -118.3597)",34.1849,-118.3597,7
"(34.1976, -118.3954)",34.1976,-118.3954,7
"(34.1343, -118.3591)",34.1343,-118.3591,31
"(34.1831, -118.4052)",34.1831,-118.4052,13
"(34.1903, -118.3801)",34.1903,-118.3801,2
"(34.1922, -118.3681)",34.1922,-118.3681,4
"(34.1523, -118.367)",34.1523,-118.367,39
"(34.1405, -118.3702)",34.1405,-118.3702,55
"(34.1577, -118.3703)",34.1577,-118.3703,74
"(34.2066, -118.4144)",34.2066,-118.4144,38
"(34.1523, -118.3658)",34.1523,-118.3658,1
"(34.1885, -118.3703)",34.1885,-118.3703,8
"(34.1849, -118.4095)",34.1849,-118.4095,75
"(34.1976, -118.3834)",34.1976,-118.3834,3
"(34.1922, -118.4041)",34.1922,-118.4041,2
"(34.1548, -118.3648)",34.1548,-118.3648,3
"(34.1903, -118.39)",34.1903,-118.39,8
"(34.1685, -118.4008)",34.1685,-118.4008,18
"(34.1903, -118.3737)",34.1903,-118.3737,5
"(34.1329, -118.3559)",34.1329,-118.3559,16
"(34.1795, -118.3746)",34.1795,-118.3746,7
"(34.1867, -118.4063)",34.1867,-118.4063,11
"(34.198, -118.4216)",34.198,-118.4216,33
"(34.194, -118.4072)",34.194,-118.4072,10
"(34.1649, -118.3825)",34.1649,-118.3825,22
"(34.1577, -118.3794)",34.1577,-118.3794,5
"(34.1794, -118.4094)",34.1794,-118.4094,26
"(34.156, -118.3874)",34.156,-118.3874,14
"(34.1687, -118.3965)",34.1687,-118.3965,47
"(34.1594, -118.3987)",34.1594,-118.3987,1
"(34.1867, -118.3878)",34.1867,-118.3878,49
"(34.1797, -118.4014)",34.1797,-118.4014,33
"(34.2012, -118.405)",34.2012,-118.405,7
"(34.174, -118.3615)",34.174,-118.3615,13
"(34.1504, -118.3703)",34.1504,-118.3703,52
"(34.1649, -118.3724)",34.1649,-118.3724,16
"(34.141, -118.3943)",34.141,-118.3943,14
"(34.1428, -118.3241)",34.1428,-118.3241,19
"(34.1649, -118.3675)",34.1649,-118.3675,14
"(34.194, -118.4138)",34.194,-118.4138,77
"(34.1649, -118.379)",34.1649,-118.379,54
"(34.1653, -118.3548)",34.1653,-118.3548,5
"(34.194, -118.3877)",34.194,-118.3877,55
"(34.1425, -118.3643)",34.1425,-118.3643,56
"(34.1867, -118.3834)",34.1867,-118.3834,24
"(34.1794, -118.3856)",34.1794,-118.3856,34
"(34.1758, -118.3773)",34.1758,-118.3773,1
"(34.194, -118.3965)",34.194,-118.3965,79
"(34.1468, -118.3703)",34.1468,-118.3703,4
"(34.1794, -118.3653)",34.1794,-118.3653,8
"(34.1504, -118.3844)",34.1504,-118.3844,5
"(34.1921, -118.391)",34.1921,-118.391,4
"(34.1271, -118.3813)",34.1271,-118.3813,1
"(34.1831, -118.3834)",34.1831,-118.3834,6
"(34.1722, -118.3615)",34.1722,-118.3615,29
"(34.1722, -118.379)",34.1722,-118.379,43
"(34.167, -118.3724)",34.167,-118.3724,11
"(34.1867, -118.379)",34.1867,-118.379,55
"(34.1681, -118.3765)",34.1681,-118.3765,21
"(34.163, -118.3734)",34.163,-118.3734,8
"(34.1722, -118.3746)",34.1722,-118.3746,13
"(34.2012, -118.4037)",34.2012,-118.4037,5
"(34.16, -118.379)",34.16,-118.379,8
"(34.1372, -118.3804)",34.1372,-118.3804,3
"(34.2012, -118.4225)",34.2012,-118.4225,88
"(34.1649, -118.3642)",34.1649,-118.3642,11
"(34.2006, -118.3965)",34.2006,-118.3965,60
"(34.1722, -118.3877)",34.1722,-118.3877,34
"(34.2158, -118.4144)",34.2158,-118.4144,14
"(34.1962, -118.3911)",34.1962,-118.3911,21
"(34.2085, -118.3965)",34.2085,-118.3965,39
"(34.1649, -118.3704)",34.1649,-118.3704,88
"(34.1794, -118.4137)",34.1794,-118.4137,27
"(34.1867, -118.3932)",34.1867,-118.3932,3
"(34.1936, -118.4166)",34.1936,-118.4166,81
"(34.1497, -118.3694)",34.1497,-118.3694,14
"(34.1851, -118.3604)",34.1851,-118.3604,3
"(34.1697, -118.3822)",34.1697,-118.3822,3
"(34.1608, -118.379)",34.1608,-118.379,6
"(34.1758, -118.3703)",34.1758,-118.3703,17
"(34.194, -118.4181)",34.194,-118.4181,29
"(34.21, -118.4229)",34.21,-118.4229,7
"(34.145, -118.3703)",34.145,-118.3703,19
"(34.1493, -118.3759)",34.1493,-118.3759,14
"(34.1284, -118.3472)",34.1284,-118.3472,56
"(34.1319, -118.382)",34.1319,-118.382,16
"(34.194, -118.3703)",34.194,-118.3703,83
"(34.1758, -118.373)",34.1758,-118.373,3
"(34.1867, -118.4094)",34.1867,-118.4094,38
"(34.186, -118.3615)",34.186,-118.3615,20
"(34.1774, -118.3965)",34.1774,-118.3965,2
"(34.2103, -118.4133)",34.2103,-118.4133,2
"(34.194, -118.4094)",34.194,-118.4094,37
"(34.1522, -118.3615)",34.1522,-118.3615,46
"(34.1785, -118.4137)",34.1785,-118.4137,2
"(34.1903, -118.3757)",34.1903,-118.3757,1
"(34.1794, -118.3987)",34.1794,-118.3987,10
"(34.1522, -118.3517)",34.1522,-118.3517,7
"(34.1826, -118.3916)",34.1826,-118.3916,33
"(34.1594, -118.3657)",34.1594,-118.3657,26
"(34.1667, -118.3943)",34.1667,-118.3943,3
"(34.1585, -118.4052)",34.1585,-118.4052,3
"(34.1576, -118.3965)",34.1576,-118.3965,58
"(34.1794, -118.3877)",34.1794,-118.3877,37
"(34.2069, -118.4097)",34.2069,-118.4097,14
"(34.1831, -118.379)",34.1831,-118.379,7
"(34.2012, -118.3878)",34.2012,-118.3878,99
"(34.1295, -118.3794)",34.1295,-118.3794,9
"(34.17, -118.3615)",34.17,-118.3615,6
"(34.1531, -118.3703)",34.1531,-118.3703,3
"(34.1831, -118.3746)",34.1831,-118.3746,1
"(34.1434, -118.3975)",34.1434,-118.3975,37
"(34.2012, -118.3658)",34.2012,-118.3658,4
"(34.1649, -118.3774)",34.1649,-118.3774,23
"(34.1273, -118.3498)",34.1273,-118.3498,3
"(34.1973, -118.4116)",34.1973,-118.4116,61
"(34.1794, -118.3921)",34.1794,-118.3921,20
"(34.1959, -118.3965)",34.1959,-118.3965,7
"(34.2012, -118.4211)",34.2012,-118.4211,51
"(34.203, -118.3921)",34.203,-118.3921,4
"(34.1722, -118.3887)",34.1722,-118.3887,10
"(34.2085, -118.3932)",34.2085,-118.3932,2
"(34.1533, -118.4058)",34.1533,-118.4058,33
"(34.1481, -118.3644)",34.1481,-118.3644,11
"(34.1321, -118.3529)",34.1321,-118.3529,13
"(34.2085, -118.3703)",34.2085,-118.3703,24
"(34.1557, -118.3691)",34.1557,-118.3691,10
"(34.1966, -118.4061)",34.1966,-118.4061,30
"(34.2012, -118.4094)",34.2012,-118.4094,107
"(34.1362, -118.342)",34.1362,-118.342,18
"(34.2085, -118.3878)",34.2085,-118.3878,41
"(34.2012, -118.4247)",34.2012,-118.4247,28
"(34.1667, -118.3953)",34.1667,-118.3953,5
"(34.1763, -118.3965)",34.1763,-118.3965,10
"(34.1705, -118.379)",34.1705,-118.379,7
"(34.1722, -118.4052)",34.1722,-118.4052,57
"(34.2058, -118.3965)",34.2058,-118.3965,23
"(34.1869, -118.4117)",34.1869,-118.4117,7
"(34.194, -118.4008)",34.194,-118.4008,22
"(34.1722, -118.3965)",34.1722,-118.3965,80
"(34.2049, -118.3965)",34.2049,-118.3965,13
"(34.1867, -118.3965)",34.1867,-118.3965,99
"(34.1451, -118.4137)",34.1451,-118.4137,30
"(34.1831, -118.3801)",34.1831,-118.3801,2
"(34.1431, -118.4008)",34.1431,-118.4008,8
"(34.1903, -118.3637)",34.1903,-118.3637,4
"(34.1222, -118.3832)",34.1222,-118.3832,3
"(34.1504, -118.3877)",34.1504,-118.3877,23
"(34.2024, -118.3703)",34.2024,-118.3703,4
"(34.1794, -118.3965)",34.1794,-118.3965,73
"(34.1286, -118.3471)",34.1286,-118.3471,14
"(34.1594, -118.4031)",34.1594,-118.4031,3
"(34.1867, -118.3921)",34.1867,-118.3921,28
"(34.2002, -118.4181)",34.2002,-118.4181,3
"(34.1794, -118.3933)",34.1794,-118.3933,2
"(34.194, -118.3889)",34.194,-118.3889,6
